"Gene stable ID","Strand","Gene end (bp)","Gene start (bp)","Chromosome/scaffold name","Gene name"
"ENSG00000120254",1,151101887,150865549,"6","MTHFD1L"
"ENSG00000172199",1,56376553,56375624,"11","OR8U1"
"ENSG00000234674",1,31159096,31153422,"CHR_HSCHR6_MHC_SSTO_CTG1","TCF19"
"ENSG00000142182",-1,44262216,44246339,"21","DNMT3L"
"ENSG00000254726",-1,156082465,156072013,"1","MEX3A"
"ENSG00000120733",1,138437028,138352685,"5","KDM3B"
"ENSG00000119004",1,203306026,203238977,"2","CYP20A1"
"ENSG00000173335",-1,23605876,23602410,"20","CST9"
"ENSG00000189233",-1,28083936,28021964,"8","NUGGC"
"ENSG00000096080",-1,43687791,43671303,"6","MRPS18A"
"ENSG00000105708",-1,19733112,19710472,"19","ZNF14"
"ENSG00000163092",1,167259753,166888487,"2","XIRP2"
"ENSG00000234186",1,27069165,27066707,"16","C16orf82"
"ENSG00000196458",-1,132956306,132918306,"12","ZNF605"
"ENSG00000130558",1,135121179,135075422,"9","OLFM1"
"ENSG00000197410",-1,154491799,154231742,"4","DCHS2"
"ENSG00000143493",-1,212035557,211940399,"1","INTS7"
"ENSG00000197272",-1,28512051,28499362,"16","IL27"
"ENSG00000147689",1,123210079,123178960,"8","FAM83A"
"ENSG00000176046",-1,28539174,28532708,"16","NUPR1"
"ENSG00000188038",1,67888855,67884885,"16","NRN1L"
"ENSG00000155666",1,27221768,27203495,"16","KDM8"
"ENSG00000124596",-1,41097787,41033627,"6","OARD1"
"ENSG00000090615",-1,132829078,132768914,"12","GOLGA3"
"ENSG00000128965",1,40956512,40952962,"15","CHAC1"
"ENSG00000198467",-1,35690056,35681992,"9","TPM2"
"ENSG00000148399",-1,137578925,137554444,"9","DPH7"
"ENSG00000172426",1,43672600,43645036,"6","RSPH9"
"ENSG00000167081",1,125967377,125747345,"9","PBX3"
"ENSG00000258315",1,7017525,7014495,"17","C17orf49"
"ENSG00000185022",1,38216507,38200767,"22","MAFF"
"ENSG00000038358",1,67884499,67873052,"16","EDC4"
"ENSG00000176476",1,28591790,28553915,"16","SGF29"
"ENSG00000122121",1,129769536,129738974,"X","XPNPEP2"
"ENSG00000143341",1,186190949,185734391,"1","HMCN1"
"ENSG00000140497",-1,74873365,74843730,"15","SCAMP2"
"ENSG00000049245",1,7781432,7771296,"1","VAMP3"
"ENSG00000184381",-1,38214778,38111495,"22","PLA2G6"
"ENSG00000230961",1,31786880,31779445,"CHR_HSCHR6_MHC_MANN_CTG1","MSH5"
"ENSG00000114948",1,206621127,206443532,"2","ADAM23"
"ENSG00000171703",1,64072347,64049836,"20","TCEA2"
"ENSG00000100938",1,24239242,24232422,"14","GMPR2"
"ENSG00000148803",-1,133358025,133355158,"10","FUOM"
"ENSG00000115896",1,198572581,197804593,"2","PLCL1"
"ENSG00000127452",-1,9827816,9810267,"19","FBXL12"
"ENSG00000219200",1,7014532,7012417,"17","RNASEK"
"ENSG00000144724",1,62297609,61561569,"3","PTPRG"
"ENSG00000056736",1,53865794,53846568,"3","IL17RB"
"ENSG00000188710",-1,130896812,130892707,"9","QRFP"
"ENSG00000161939",1,7017520,7012635,"17","RNASEK-C17orf49"
"ENSG00000183808",-1,93741017,93729356,"8","RBM12B"
"ENSG00000107738",-1,71773520,71747556,"10","VSIR"
"ENSG00000237582",-1,31165590,31159218,"CHR_HSCHR6_MHC_SSTO_CTG1","POU5F1"
"ENSG00000174243",-1,48852842,48829756,"12","DDX23"
"ENSG00000250821",1,55837487,55819819,"4","EXOC1L"
"ENSG00000279961",-1,56418232,56417258,"11","OR5R1"
"ENSG00000100330",1,30030866,29883155,"22","MTMR3"
"ENSG00000162885",-1,235504452,235447190,"1","B3GALNT2"
"ENSG00000178460",1,66922048,66870749,"8","MCMDC2"
"ENSG00000184144",1,205078289,205042937,"1","CNTN2"
"ENSG00000273706",1,36944612,36936785,"17","LHX1"
"ENSG00000182450",1,64300031,64291302,"11","KCNK4"
"ENSG00000107562",-1,44386493,44370165,"10","CXCL12"
"ENSG00000138814",-1,101348278,101023409,"4","PPP3CA"
"ENSG00000198700",1,201884291,201829149,"1","IPO9"
"ENSG00000213585",-1,134004975,133971871,"5","VDAC1"
"ENSG00000072609",-1,132956304,132822187,"12","CHFR"
"ENSG00000108679",-1,78979947,78971238,"17","LGALS3BP"
"ENSG00000138166",1,110511533,110497907,"10","DUSP5"
"ENSG00000114405",1,62336213,62318973,"3","C3orf14"
"ENSG00000073969",1,46757464,46590669,"17","NSF"
"ENSG00000120868",1,98735433,98645141,"12","APAF1"
"ENSG00000253598",-1,81695058,81693631,"8","SLC10A5"
"ENSG00000188343",1,93731527,93698561,"8","FAM92A"
"ENSG00000257341",1,105492267,105487199,"14","AL928654.3"
"ENSG00000168530",-1,210315174,210290150,"2","MYL1"
"ENSG00000172572",1,20684381,20369245,"12","PDE3A"
"ENSG00000143476",1,212107400,212035553,"1","DTL"
"ENSG00000173572",-1,55932336,55891699,"19","NLRP13"
"ENSG00000234798",-1,31964946,31962464,"CHR_HSCHR6_MHC_SSTO_CTG1","DXO"
"ENSG00000219435",1,64304770,64300358,"11","CATSPERZ"
"ENSG00000241343",1,101396154,101390824,"X","RPL36A"
"ENSG00000075043",-1,63472677,63400210,"20","KCNQ2"
"ENSG00000124602",-1,41039221,41026895,"6","UNC5CL"
"ENSG00000153233",-1,70920738,70638073,"12","PTPRR"
"ENSG00000070915",1,56915850,56865207,"16","SLC12A3"
"ENSG00000106367",1,101161596,101154456,"7","AP1S1"
"ENSG00000119535",-1,36483278,36466043,"1","CSF3R"
"ENSG00000174175",-1,169630193,169588849,"1","SELP"
"ENSG00000134369",1,201826969,201622885,"1","NAV1"
"ENSG00000112335",-1,108261246,108211222,"6","SNX3"
"ENSG00000143742",1,225790468,225777813,"1","SRP9"
"ENSG00000124701",1,41064511,41053304,"6","APOBEC2"
"ENSG00000125755",-1,45863194,45815410,"19","SYMPK"
"ENSG00000156858",1,30656440,30650717,"16","PRR14"
"ENSG00000081665",-1,19821751,19785839,"19","ZNF506"
"ENSG00000102393",-1,101408012,101393273,"X","GLA"
"ENSG00000235711",1,79298235,79293285,"15","ANKRD34C"
"ENSG00000012817",-1,19744939,19703865,"Y","KDM5D"
"ENSG00000178038",-1,46693704,46668995,"3","ALS2CL"
"ENSG00000001167",1,41099976,41072945,"6","NFYA"
"ENSG00000177363",-1,62689530,62686406,"11","LRRN4CL"
"ENSG00000173120",1,67258082,67119263,"11","KDM2A"
"ENSG00000180644",-1,70602759,70597348,"10","PRF1"
"ENSG00000166896",1,57959148,57906039,"12","ATP23"
"ENSG00000236250",1,31974100,31963829,"CHR_HSCHR6_MHC_SSTO_CTG1","STK19"
"ENSG00000196547",1,90922584,90902218,"15","MAN2A2"
"ENSG00000122122",1,129795201,129779949,"X","SASH3"
"ENSG00000232434",1,136848801,136844415,"9","AJM1"
"ENSG00000177943",1,136860799,136850943,"9","MAMDC4"
"ENSG00000126945",1,101414133,101408222,"X","HNRNPH2"
"ENSG00000050030",-1,74925485,74732856,"X","NEXMIF"
"ENSG00000112212",1,41044337,41042467,"6","TSPO2"
"ENSG00000257529",1,101412297,101391011,"X","RPL36A-HNRNPH2"
"ENSG00000115365",-1,210477652,210431249,"2","LANCL1"
"ENSG00000127884",-1,133373354,133362485,"10","ECHS1"
"ENSG00000198844",1,8322514,8310241,"17","ARHGEF15"
"ENSG00000214753",-1,62727457,62712630,"11","HNRNPUL2"
"ENSG00000162188",1,62709201,62707676,"11","GNG3"
"ENSG00000165775",1,155060304,155025980,"X","FUNDC2"
"ENSG00000187325",-1,78139650,78129748,"X","TAF9B"
"ENSG00000054148",1,136851027,136848724,"9","PHPT1"
"ENSG00000146729",1,56000181,55951793,"7","NIPSNAP2"
"ENSG00000035664",-1,64072033,63907036,"15","DAPK2"
"ENSG00000234857",-1,62727384,62690275,"11","HNRNPUL2-BSCL2"
"ENSG00000235118",1,206649011,206642412,"2","FAM237A"
"ENSG00000111540",1,55996683,55973913,"12","RAB5B"
"ENSG00000168000",-1,62709845,62690275,"11","BSCL2"
"ENSG00000213231",1,95692628,95686426,"14","TCL1B"
"ENSG00000182220",1,40606848,40579372,"X","ATP6AP2"
"ENSG00000090530",-1,190122437,189956728,"3","P3H2"
"ENSG00000144048",-1,73780157,73762184,"2","DUSP11"
"ENSG00000232125",-1,206718396,206651621,"2","DYTN"
"ENSG00000143952",-1,64019428,63892146,"2","VPS54"
"ENSG00000185010",-1,155026940,154835788,"X","F8"
"ENSG00000011258",-1,51260163,51177425,"17","MBTD1"
"ENSG00000121542",1,123274136,123201927,"3","SEC22A"
"ENSG00000166557",1,79427432,79311112,"15","TMED3"
"ENSG00000176635",1,30177075,30080464,"22","HORMAD2"
"ENSG00000284732",-1,56473352,56459221,"11","AP002512.3"
"ENSG00000150269",-1,56463401,56462469,"11","OR5M9"
"ENSG00000174937",-1,56473352,56469274,"11","OR5M3"
"ENSG00000136643",1,213274774,213051233,"1","RPS6KC1"
"ENSG00000269586",-1,135889086,135881063,"X","CT45A10"
"ENSG00000259305",-1,123274284,123226189,"8","ZHX1-C8orf76"
"ENSG00000235376",1,103248016,103245887,"10","RPEL1"
"ENSG00000181371",-1,56491395,56490349,"11","OR5M8"
"ENSG00000165156",-1,123275541,123248451,"8","ZHX1"
"ENSG00000137648",1,118121890,118077012,"11","TMPRSS4"
"ENSG00000184650",1,8346048,8339840,"17","ODF4"
"ENSG00000249773",1,55955239,55887277,"7","AC092647.5"
"ENSG00000181433",1,135913061,135889205,"X","SAGE1"
"ENSG00000178665",1,55942530,55887456,"7","ZNF713"
"ENSG00000025800",1,32176563,32108056,"1","KPNA6"
"ENSG00000112773",-1,81752774,81491439,"6","TENT5A"
"ENSG00000163347",-1,190322446,190305707,"3","CLDN1"
"ENSG00000065485",1,123225227,123067025,"3","PDIA5"
"ENSG00000255223",-1,56543281,56542262,"11","OR5M11"
"ENSG00000179709",1,55988629,55947832,"19","NLRP8"
"ENSG00000148798",1,103290346,103277138,"10","INA"
"ENSG00000213965",1,32713796,32691961,"19","NUDT19"
"ENSG00000239789",1,55956500,55951877,"7","MRPS17"
"ENSG00000189376",-1,123241377,123219967,"8","C8orf76"
"ENSG00000011260",1,51297936,51260546,"17","UTP18"
"ENSG00000116690",1,186314562,186296279,"1","PRG4"
"ENSG00000169330",1,79472304,79432336,"15","MINAR1"
"ENSG00000169189",-1,27268772,27224994,"16","NSMCE1"
"ENSG00000196428",1,150466431,150408335,"3","TSC22D2"
"ENSG00000115350",1,74970128,74958643,"2","POLE4"
"ENSG00000113946",1,190412143,190322541,"3","CLDN16"
"ENSG00000101439",-1,23638473,23626706,"20","CST3"
"ENSG00000277203",1,154888061,154886349,"X","F8A1"
"ENSG00000087206",-1,177022633,176905005,"5","UIMC1"
"ENSG00000274183",1,154885558,154884972,"X","H2AB1"
"ENSG00000135537",1,108526796,108294991,"6","AFG1L"
"ENSG00000198398",-1,190449876,190428655,"3","TMEM207"
"ENSG00000108932",-1,68291267,68267026,"17","SLC16A6"
"ENSG00000204849",1,39361962,39355669,"9","SPATA31A1"
"ENSG00000136918",1,124857890,124853417,"9","WDR38"
"ENSG00000144567",1,219185475,219176225,"2","RETREG2"
"ENSG00000166847",1,23677472,23641466,"16","DCTN5"
"ENSG00000161970",-1,8383213,8377516,"17","RPL26"
"ENSG00000143507",-1,221742089,221701424,"1","DUSP10"
"ENSG00000172139",-1,112294227,112140898,"3","SLC9C1"
"ENSG00000198393",1,133032952,132986365,"12","ZNF26"
"ENSG00000108950",-1,68601367,68535113,"17","FAM20A"
"ENSG00000181634",-1,114806039,114784652,"9","TNFSF15"
"ENSG00000235712",-1,33371048,33363951,"CHR_HSCHR6_MHC_MCF_CTG1","RXRB"
"ENSG00000157353",1,70480274,70454595,"16","FCSK"
"ENSG00000149418",1,130210362,130159782,"11","ST14"
"ENSG00000047410",-1,186375693,186311652,"1","TPR"
"ENSG00000226792",-1,51200252,51082119,"13","C13orf42"
"ENSG00000080561",1,107927193,107825755,"X","MID2"
"ENSG00000128564",-1,101165569,101162509,"7","VGF"
"ENSG00000124334",1,156010817,155997581,"X","IL9R"
"ENSG00000089472",1,66268867,66162549,"X","HEPH"
"ENSG00000134709",1,59876322,59814786,"1","HOOK1"
"ENSG00000196083",1,190659750,190514051,"3","IL1RAP"
"ENSG00000107551",1,44995891,44959407,"10","RASSF4"
"ENSG00000115649",-1,219178106,219171897,"2","CNPPD1"
"ENSG00000169246",-1,21448567,21402237,"16","NPIPB3"
"ENSG00000167011",-1,101180293,101170496,"7","NAT16"
"ENSG00000139531",1,56006641,55997180,"12","SUOX"
"ENSG00000075151",-1,21176888,20806292,"1","EIF4G3"
"ENSG00000108960",-1,55421924,55392622,"17","MMD"
"ENSG00000140678",1,31382997,31355134,"16","ITGAX"
"ENSG00000184619",-1,8376704,8356902,"17","KRBA2"
"ENSG00000224399",1,33374799,33370805,"CHR_HSCHR6_MHC_MCF_CTG1","SLC39A7"
"ENSG00000133392",-1,15857028,15703135,"16","MYH11"
"ENSG00000143190",1,167427345,167220876,"1","POU2F1"
"ENSG00000174600",-1,108339317,108288044,"12","CMKLR1"
"ENSG00000070540",-1,68457513,68420948,"17","WIPI1"
"ENSG00000164284",1,149354583,149345430,"5","GRPEL2"
"ENSG00000165724",-1,137590512,137582081,"9","ZMYND19"
"ENSG00000164989",1,16061663,15553043,"9","CCDC171"
"ENSG00000112964",1,42721878,42423439,"5","GHR"
"ENSG00000263809",-1,8383187,8368638,"17","AC135178.3"
"ENSG00000113812",-1,53882152,53867066,"3","ACTR8"
"ENSG00000147642",-1,109691791,109573978,"8","SYBU"
"ENSG00000187833",1,73817147,73784189,"2","C2orf78"
"ENSG00000238134",-1,31974166,31956231,"CHR_HSCHR6_MHC_MCF_CTG1","EHMT2"
"ENSG00000111110",-1,62935150,62643994,"12","PPM1H"
"ENSG00000227686",-1,31786187,31781844,"CHR_HSCHR6_MHC_QBL_CTG1","VARS1"
"ENSG00000187783",1,44937010,44911316,"10","TMEM72"
"ENSG00000150961",-1,118838683,118722823,"4","SEC24D"
"ENSG00000160224",1,44298648,44285838,"21","AIRE"
"ENSG00000130561",1,233347055,233307816,"2","SAG"
"ENSG00000165507",-1,44978809,44970981,"10","DEPP1"
"ENSG00000143819",1,225845563,225810092,"1","EPHX1"
"ENSG00000019582",-1,150412929,150400041,"5","CD74"
"ENSG00000144895",1,150586016,150546678,"3","EIF2A"
"ENSG00000254834",-1,56577787,56576736,"11","OR5M10"
"ENSG00000106952",-1,114930595,114893343,"9","TNFSF8"
"ENSG00000248746",1,66563334,66546395,"11","ACTN3"
"ENSG00000141582",-1,79839440,79833156,"17","CBX4"
"ENSG00000255012",-1,56614874,56609236,"11","OR5M1"
"ENSG00000161031",-1,15498956,15468645,"19","PGLYRP2"
"ENSG00000108946",1,68551319,68511780,"17","PRKAR1A"
"ENSG00000175471",-1,95284575,94703741,"5","MCTP1"
"ENSG00000136942",-1,124861981,124857880,"9","RPL35"
"ENSG00000104447",-1,115809673,115408496,"8","TRPS1"
"ENSG00000255274",-1,118088299,118003634,"11","SMIM35"
"ENSG00000132563",1,138446969,138439057,"5","REEP2"
"ENSG00000113811",-1,53891962,53884417,"3","SELENOK"
"ENSG00000171487",1,56061810,55999726,"19","NLRP5"
"ENSG00000107447",1,96338564,96304409,"10","DNTT"
"ENSG00000131669",-1,93134251,93121496,"9","NINJ1"
"ENSG00000108405",-1,3916476,3896592,"17","P2RX1"
"ENSG00000041982",-1,115118257,115019575,"9","TNC"
"ENSG00000169446",-1,135974063,135962070,"X","MMGT1"
"ENSG00000196187",-1,225882380,225845536,"1","TMEM63A"
"ENSG00000110880",-1,108731596,108645109,"12","CORO1C"
"ENSG00000164209",1,110765161,110738136,"5","SLC25A46"
"ENSG00000198689",1,136047269,135973841,"X","SLC9A6"
"ENSG00000070814",1,150400308,150357629,"5","TCOF1"
"ENSG00000065548",1,186509361,186486253,"2","ZC3H15"
"ENSG00000091972",1,112362812,112332347,"3","CD200"
"ENSG00000205076",-1,38773492,38770971,"19","LGALS7"
"ENSG00000153560",-1,33441371,33388336,"3","UBP1"
"ENSG00000173482",1,8406861,7566782,"18","PTPRM"
"ENSG00000173198",-1,78327691,78271468,"X","CYSLTR1"
"ENSG00000178934",1,38791754,38789200,"19","LGALS7B"
"ENSG00000167100",-1,50129882,50110040,"17","SAMD14"
"ENSG00000178623",1,240631259,240605430,"2","GPR35"
"ENSG00000205549",-1,16410990,16203935,"9","C9orf92"
"ENSG00000139631",-1,53180909,53157663,"12","CSAD"
"ENSG00000205835",-1,190892429,190852737,"3","GMNC"
"ENSG00000141569",-1,75896951,75880335,"17","TRIM65"
"ENSG00000179300",-1,78659328,78656068,"X","RTL3"
"ENSG00000275700",1,37056871,36948954,"17","AATF"
"ENSG00000118246",1,206796189,206765357,"2","FASTKD2"
"ENSG00000261873",-1,55511444,55448433,"17","SMIM36"
"ENSG00000118689",1,108684774,108559835,"6","FOXO3"
"ENSG00000142409",-1,56121295,56087366,"19","ZNF787"
"ENSG00000142330",1,240617705,240586734,"2","CAPN10"
"ENSG00000182919",1,93764749,93741591,"11","C11orf54"
"ENSG00000173153",1,64316743,64305497,"11","ESRRA"
"ENSG00000274736",-1,36017972,36013056,"17","CCL23"
"ENSG00000091651",1,46698394,46689643,"16","ORC6"
"ENSG00000188729",1,191265615,191199241,"3","OSTN"
"ENSG00000136573",1,11564599,11486894,"8","BLK"
"ENSG00000173068",-1,16870843,16409503,"9","BNC2"
"ENSG00000147145",1,78757094,78747709,"X","LPAR4"
"ENSG00000186952",-1,110738956,110289233,"5","TMEM232"
"ENSG00000145882",1,149369653,149358037,"5","PCYOX1L"
"ENSG00000157445",1,55074557,54122547,"3","CACNA2D3"
"ENSG00000181585",1,46710886,46694528,"3","TMIE"
"ENSG00000115419",1,190965552,190880821,"2","GLS"
"ENSG00000166292",-1,55732121,55719627,"17","TMEM100"
"ENSG00000049246",1,7845177,7784320,"1","PER3"
"ENSG00000005882",1,50112152,50094737,"17","PDK2"
"ENSG00000170925",-1,107982370,107980864,"X","TEX13B"
"ENSG00000138400",-1,206765328,206737763,"2","MDH1B"
"ENSG00000067842",1,153582939,153517676,"X","ATP2B3"
"ENSG00000198843",1,150630445,150602875,"3","SELENOT"
"ENSG00000196814",1,126507041,126326829,"9","MVB12B"
"ENSG00000131477",1,42763041,42758447,"17","RAMP2"
"ENSG00000078589",1,78963727,78945332,"X","P2RY10"
"ENSG00000152492",1,191398659,191329085,"3","CCDC50"
"ENSG00000172850",-1,31797209,31787629,"CHR_HSCHR6_MHC_QBL_CTG1","LSM2"
"ENSG00000173113",-1,64318084,64316460,"11","TRMT112"
"ENSG00000111605",1,69274358,69239569,"12","CPSF6"
"ENSG00000183196",-1,75495445,75472052,"16","CHST6"
"ENSG00000198855",1,108525837,108515277,"12","FICD"
"ENSG00000172464",-1,56642471,56641466,"11","OR5AP2"
"ENSG00000172459",1,56664687,56663662,"11","OR5AR1"
"ENSG00000141337",1,68422731,68259182,"17","ARSG"
"ENSG00000175567",-1,73983246,73974672,"11","UCP2"
"ENSG00000115944",-1,42425088,42333546,"2","COX7A2L"
"ENSG00000067900",-1,21111813,20946906,"18","ROCK1"
"ENSG00000130720",-1,130939286,130902438,"9","FIBCD1"
"ENSG00000060069",1,79756623,79679801,"18","CTDP1"
"ENSG00000188958",-1,191330536,191267168,"3","UTS2B"
"ENSG00000075856",-1,108561400,108522214,"12","SART3"
"ENSG00000167291",-1,80035872,79932343,"17","TBC1D16"
"ENSG00000198258",1,9830115,9827892,"19","UBL5"
"ENSG00000120742",-1,150603228,150541998,"3","SERP1"
"ENSG00000196440",1,101533459,101418287,"X","ARMCX4"
"ENSG00000065457",-1,75623300,75596981,"16","ADAT1"
"ENSG00000101842",1,108079184,108044970,"X","VSIG1"
"ENSG00000106384",-1,101201038,101195007,"7","MOGAT3"
"ENSG00000188706",-1,129843909,129803288,"X","ZDHHC9"
"ENSG00000168300",-1,51899186,51817575,"8","PCMTD1"
"ENSG00000150048",-1,10111627,10069554,"12","CLEC1A"
"ENSG00000253548",1,191461456,191461163,"3","PYDC2"
"ENSG00000004948",-1,93574730,93424487,"7","CALCR"
"ENSG00000170412",1,74451653,74424851,"17","GPRC5C"
"ENSG00000138080",1,27086403,27078615,"2","EMILIN1"
"ENSG00000140795",-1,46790407,46702282,"16","MYLK3"
"ENSG00000133302",1,94739436,94618669,"5","SLF1"
"ENSG00000198040",1,133063304,133037292,"12","ZNF84"
"ENSG00000135245",1,128458418,128455849,"7","HILPDA"
"ENSG00000198924",-1,113854383,113834725,"10","DCLRE1A"
"ENSG00000115415",-1,191020960,190908460,"2","STAT1"
"ENSG00000139651",1,53195142,53180704,"12","ZNF740"
"ENSG00000256771",1,19894674,19865882,"19","ZNF253"
"ENSG00000176641",-1,61894247,61808067,"18","RNF152"
"ENSG00000117707",1,214041510,213983181,"1","PROX1"
"ENSG00000165055",1,128506602,128476729,"7","METTL2B"
"ENSG00000111530",1,67319953,67269358,"12","CAND1"
"ENSG00000135702",-1,75535247,75528535,"16","CHST5"
"ENSG00000139626",-1,53207282,53191323,"12","ITGB7"
"ENSG00000197329",-1,64144420,64092652,"2","PELI1"
"ENSG00000205084",-1,75556268,75536741,"16","TMEM231"
"ENSG00000077238",1,27364778,27313668,"16","IL4R"
"ENSG00000134909",-1,129279324,128965060,"11","ARHGAP32"
"ENSG00000182307",1,145066685,145052465,"8","C8orf33"
"ENSG00000049247",-1,7853512,7843083,"1","UTS2"
"ENSG00000143603",-1,154870281,154697455,"1","KCNN3"
"ENSG00000272602",1,88208,53286,"4","ZNF595"
"ENSG00000166148",-1,63150942,63142759,"12","AVPR1A"
"ENSG00000144771",-1,54967088,54918231,"3","LRTM1"
"ENSG00000166004",1,93730358,93661682,"11","CEP295"
"ENSG00000173175",-1,123449758,123282296,"3","ADCY5"
"ENSG00000147138",1,79175315,79144663,"X","GPR174"
"ENSG00000198064",-1,30254510,30222937,"16","NPIPB13"
"ENSG00000118655",1,113914086,113905213,"1","DCLRE1B"
"ENSG00000049130",-1,88580851,88492793,"12","KITLG"
"ENSG00000101441",-1,23689040,23685640,"20","CST4"
"ENSG00000114279",-1,192767764,192139395,"3","FGF12"
"ENSG00000166797",-1,64093857,64072565,"15","CIAO2A"
"ENSG00000180772",1,116174974,116170744,"X","AGTR2"
"ENSG00000159216",-1,36004667,34787801,"21","RUNX1"
"ENSG00000034713",1,75577881,75566375,"16","GABARAPL2"
"ENSG00000136371",-1,79897379,79833585,"15","MTHFS"
"ENSG00000183340",1,96507574,96389989,"11","JRKL"
"ENSG00000150510",1,51284241,51222334,"13","FAM124A"
"ENSG00000140941",1,87404779,87383953,"16","MAP1LC3B"
"ENSG00000156860",1,30670810,30658431,"16","FBRS"
"ENSG00000143512",-1,222548104,222522258,"1","HHIPL2"
"ENSG00000051108",1,56944864,56932142,"16","HERPUD1"
"ENSG00000178028",1,44220681,44213455,"1","DMAP1"
"ENSG00000260092",-1,75545428,75528532,"16","AC009163.3"
"ENSG00000206383",-1,31805300,31799855,"CHR_HSCHR6_MHC_QBL_CTG1","HSPA1L"
"ENSG00000008513",-1,133571940,133454848,"8","ST3GAL1"
"ENSG00000139263",-1,58920522,58872149,"12","LRIG3"
"ENSG00000180953",-1,79923702,79898840,"15","ST20"
"ENSG00000196387",1,133107544,133079838,"12","ZNF140"
"ENSG00000073921",-1,86069882,85957175,"11","PICALM"
"ENSG00000259332",-1,79923754,79845150,"15","ST20-MTHFS"
"ENSG00000198185",-1,46513559,46499630,"20","ZNF334"
"ENSG00000260456",-1,87317420,87083562,"16","C16orf95"
"ENSG00000183624",1,129306186,129278828,"3","HMCES"
"ENSG00000134716",-1,59926773,59893308,"1","CYP2J2"
"ENSG00000180611",-1,192917856,192796815,"3","MB21D2"
"ENSG00000197430",-1,96359365,96343221,"10","OPALIN"
"ENSG00000078596",-1,79367667,79360384,"X","ITM2A"
"ENSG00000126947",1,101554700,101550547,"X","ARMCX1"
"ENSG00000244020",-1,237004441,237004103,"1","MT1HL1"
"ENSG00000120738",1,138469303,138465479,"5","EGR1"
"ENSG00000048991",1,135725270,135531455,"2","R3HDM1"
"ENSG00000123933",-1,2262109,2247432,"4","MXD4"
"ENSG00000042429",1,93814963,93784227,"11","MED17"
"ENSG00000131152",-1,87334273,87302876,"16","AC010531.1"
"ENSG00000156886",1,31426505,31393335,"16","ITGAD"
"ENSG00000274332",-1,45550562,45505209,"CHR_HSCHR17_1_CTG5","LRRC37A2"
"ENSG00000103264",-1,87392142,87326987,"16","FBXO31"
"ENSG00000196639",1,11263557,11137093,"3","HRH1"
"ENSG00000197070",1,137615360,137605685,"9","ARRDC1"
"ENSG00000214029",-1,133130473,133106817,"12","ZNF891"
"ENSG00000123485",-1,233854566,233833416,"2","HJURP"
"ENSG00000268104",1,116461458,116436606,"X","SLC6A14"
"ENSG00000185176",-1,240682906,240676418,"2","AQP12B"
"ENSG00000172318",1,167874041,167868948,"2","B3GALT1"
"ENSG00000276887",1,54367221,54345546,"CHR_HSCHR19LRC_PGF1_CTG3_1","TTYH1"
"ENSG00000127743",-1,149404202,149371324,"5","IL17B"
"ENSG00000187098",1,69968337,69739435,"3","MITF"
"ENSG00000110497",-1,46594125,46396414,"11","AMBRA1"
"ENSG00000204019",-1,116462976,116461686,"X","CT83"
"ENSG00000261884",-1,67936017,67929614,"16","AC040162.1"
"ENSG00000100721",-1,95714196,95709947,"14","TCL1A"
"ENSG00000179115",-1,12934037,12922479,"19","FARSA"
"ENSG00000141086",-1,67932365,67927640,"16","CTRL"
"ENSG00000131475",1,42779599,42773449,"17","VPS25"
"ENSG00000198960",-1,101618001,101615118,"X","ARMCX6"
"ENSG00000139718",1,121832584,121804180,"12","SETD1B"
"ENSG00000171126",-1,42493982,42442017,"2","KCNG3"
"ENSG00000090989",1,55905086,55853648,"4","EXOC1"
"ENSG00000114349",1,50197696,50191610,"3","GNAT1"
"ENSG00000185038",1,233833423,233775679,"2","MROH2A"
"ENSG00000103051",-1,70523558,70480568,"16","COG4"
"ENSG00000072864",1,15726353,15643267,"16","NDE1"
"ENSG00000215328",1,31808181,31805699,"CHR_HSCHR6_MHC_QBL_CTG1","HSPA1A"
"ENSG00000148408",1,138124624,137877782,"9","CACNA1B"
"ENSG00000172602",-1,48865870,48857145,"12","RND1"
"ENSG00000103534",1,19499113,19410496,"16","TMC5"
"ENSG00000188878",-1,75941140,75909574,"17","FBF1"
"ENSG00000110013",-1,124695707,124633113,"11","SIAE"
"ENSG00000205220",-1,67936864,67934506,"16","PSMB10"
"ENSG00000212866",1,31820498,31817974,"CHR_HSCHR6_MHC_QBL_CTG1","HSPA1B"
"ENSG00000197165",-1,28597050,28591943,"16","SULT1A2"
"ENSG00000127334",1,67665406,67648338,"12","DYRK2"
"ENSG00000126432",1,64321811,64318121,"11","PRDX5"
"ENSG00000256825",1,133202369,133130984,"12","AC026786.1"
"ENSG00000131844",1,71658706,71587288,"5","MCCC2"
"ENSG00000127252",1,193277738,193241128,"3","PLAAT1"
"ENSG00000090612",1,133214831,133181409,"12","ZNF268"
"ENSG00000170819",1,133475222,133400056,"3","BFSP2"
"ENSG00000156885",-1,31428360,31427731,"16","COX6A2"
"ENSG00000187091",-1,38029762,38007496,"3","PLCD1"
"ENSG00000153266",-1,62374324,62369681,"3","FEZF2"
"ENSG00000159792",1,67929676,67893254,"16","PSKH1"
"ENSG00000187527",-1,193378820,193274789,"3","ATP13A5"
"ENSG00000064199",1,124697518,124673798,"11","SPA17"
"ENSG00000141519",1,80100613,80036632,"17","CCDC40"
"ENSG00000144868",1,133397792,133038391,"3","TMEM108"
